"idea_id","category_id","category_name","subcategory_id","subcategory_name","collection_id","status","title","slug","summary","tags","pros_json","cons_json","verdict","trend_score","tier","","","","","","","","","",""
"IDEA-00001","CAT-001","Tech & SaaS","SUB-001","Micro-SaaS for Creators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00002","CAT-001","Tech & SaaS","SUB-002","B2B Workflow Automation Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00003","CAT-001","Tech & SaaS","SUB-003","AI-Powered Chrome Extensions","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00004","CAT-001","Tech & SaaS","SUB-004","Developer API Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00005","CAT-001","Tech & SaaS","SUB-005","No-Code App Templates","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00006","CAT-001","Tech & SaaS","SUB-006","Cybersecurity for Small Businesses","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00007","CAT-001","Tech & SaaS","SUB-007","Vertical SaaS for Niche Markets","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00008","CAT-001","Tech & SaaS","SUB-008","Open Source Commercial Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00009","CAT-001","Tech & SaaS","SUB-009","Internal Tool Builders","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00010","CAT-001","Tech & SaaS","SUB-010","Data Analytics & Dashboard Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00011","CAT-002","AI & Automation","SUB-011","Fine-Tuned AI Agents","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00012","CAT-002","AI & Automation","SUB-012","AI Content Generation Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00013","CAT-002","AI & Automation","SUB-013","Voice AI & Conversational Bots","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00014","CAT-002","AI & Automation","SUB-014","AI Video & Audio Editing Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00015","CAT-002","AI & Automation","SUB-015","Computer Vision & Image Processing","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
